Pattern,Support,MinSup,Runtime
tim	,9,9,0.09320282936096191
option	,9,9,0.09320282936096191
rumours	68070	,9,9,0.09320282936096191
chip	,9,9,0.09320282936096191
rumours	mcmains	unt	,9,9,0.09320282936096191
illinois	urbana	,9,9,0.09320282936096191
register	,9,9,0.09320282936096191
path	,9,9,0.09320282936096191
newer	,9,9,0.09320282936096191
latest	,9,9,0.09320282936096191
industrial	,9,9,0.09320282936096191
extra	,9,9,0.09320282936096191
earlier	,9,9,0.09320282936096191
dark	,9,9,0.09320282936096191
spatial	,9,9,0.09320282936096191
recommend	carpenter	boeing	bcstec	rgc3679	,9,9,0.09320282936096191
necessary	,9,9,0.09320282936096191
cube	,9,9,0.09320282936096191
midway	,9,9,0.09320282936096191
vms	,9,9,0.09320282936096191
vax	,9,9,0.09320282936096191
united	,9,9,0.09320282936096191
toolkit	,9,9,0.09320282936096191
tested	,9,9,0.09320282936096191
tech	,9,9,0.09320282936096191
spectrum	,9,9,0.09320282936096191
review	,9,9,0.09320282936096191
mountain	,9,9,0.09320282936096191
maps	,9,9,0.09320282936096191
half	,9,9,0.09320282936096191
graph	,9,9,0.09320282936096191
export	,9,9,0.09320282936096191
east	,9,9,0.09320282936096191
dynamic	,9,9,0.09320282936096191
andrew	,9,9,0.09320282936096191
advanced	,9,9,0.09320282936096191
415	,9,9,0.09320282936096191
x11	,9,9,0.09320282936096191
tamu	,9,9,0.09320282936096191
road	,9,9,0.09320282936096191
quadra	,9,9,0.09320282936096191
close	,9,9,0.09320282936096191
luck	,9,9,0.09320282936096191
70	,9,9,0.09320282936096191
super	,9,9,0.09320282936096191
models	,9,9,0.09320282936096191
michigan	,9,9,0.09320282936096191
ann	arbor	,9,9,0.09320282936096191
collection	,9,9,0.09320282936096191
methods	,9,9,0.09320282936096191
wa	,9,9,0.09320282936096191
finding	,9,9,0.09320282936096191
usual	,9,9,0.09320282936096191
na	,9,9,0.09320282936096191
addition	,9,9,0.09320282936096191
edit	,9,9,0.09320282936096191
51	,9,9,0.09320282936096191
exact	,9,9,0.09320282936096191
suite	,9,9,0.09320282936096191
sys	,9,9,0.09320282936096191
sounds	,9,9,0.09320282936096191
morphing	,9,9,0.09320282936096191
architecture	,9,9,0.09320282936096191
received	,9,9,0.09320282936096191
progress	,9,9,0.09320282936096191
presentations	,9,9,0.09320282936096191
04	,9,9,0.09320282936096191
moment	,9,9,0.09320282936096191
located	,9,9,0.09320282936096191
extended	,9,9,0.09320282936096191
csd	,9,9,0.09320282936096191
spend	,9,9,0.09320282936096191
ascii	,9,9,0.09320282936096191
vs	,9,9,0.09320282936096191
turbo	,9,9,0.09320282936096191
300	,9,9,0.09320282936096191
word	,9,9,0.09320282936096191
responses	,9,9,0.09320282936096191
nor	,9,9,0.09320282936096191
mirrors	,9,9,0.09320282936096191
md	,9,9,0.09320282936096191
implemented	,9,9,0.09320282936096191
eye	,9,9,0.09320282936096191
arbitrary	,9,9,0.09320282936096191
press	,9,9,0.09320282936096191
permission	,9,9,0.09320282936096191
newsgroups	,9,9,0.09320282936096191
isbn	,9,9,0.09320282936096191
ee	,9,9,0.09320282936096191
regarding	,9,9,0.09320282936096191
floppy	,9,9,0.09320282936096191
suspect	,9,9,0.09320282936096191
entire	,9,9,0.09320282936096191
creates	,9,9,0.09320282936096191
thinking	,9,9,0.09320282936096191
equipment	,9,9,0.09320282936096191
base	,9,9,0.09320282936096191
build	,9,9,0.09320282936096191
direct	,9,9,0.09320282936096191
readers	,9,9,0.09320282936096191
left	,9,9,0.09320282936096191
jeff	,9,9,0.09320282936096191
vnet	hernandez	muchado	rchland	,9,9,0.09320282936096191
magazine	,9,9,0.09320282936096191
75	,9,9,0.09320282936096191
ma	,9,9,0.09320282936096191
netherlands	,9,9,0.09320282936096191
advantage	,9,9,0.09320282936096191
38	,9,9,0.09320282936096191
seattle	,9,9,0.09320282936096191
edward	bolson	carson	,9,9,0.09320282936096191
boy	,9,9,0.09320282936096191
lots	,9,9,0.09320282936096191
companies	,9,9,0.09320282936096191
become	,9,9,0.09320282936096191
informatik	,9,9,0.09320282936096191
uunet	,9,9,0.09320282936096191
added	,9,9,0.09320282936096191
movie	,9,9,0.09320282936096191
class	,9,9,0.09320282936096191
watson	,9,9,0.09320282936096191
ames	,9,9,0.09320282936096191
diego	,9,9,0.09320282936096191
tony	,9,9,0.09320282936096191
represents	,9,9,0.09320282936096191
july	,9,9,0.09320282936096191
ken	,9,9,0.09320282936096191
specification	,9,9,0.09320282936096191
effort	,9,9,0.09320282936096191
student	,9,9,0.09320282936096191
