K,Pattern,Support,Runtime
1500,maybe,26,3.2482895851135254
1500,life,24,3.2482895851135254
1500,ideas,24,3.2482895851135254
1500,feel,24,3.2482895851135254
1500,tried,24,3.2482895851135254
1500,wrong,23,3.2482895851135254
1500,needs,23,3.2482895851135254
1500,correct,22,3.2482895851135254
1500,didn,22,3.2482895851135254
1500,recently,22,3.2482895851135254
1500,graphic,22,3.2482895851135254
1500,suggestions,22,3.2482895851135254
1500,exactly,22,3.2482895851135254
1500,apr,22,3.2482895851135254
1500,personally,22,3.2482895851135254
1500,rumours,21,3.2482895851135254
1500,wondering,21,3.2482895851135254
1500,knows,21,3.2482895851135254
1500,services,21,3.2482895851135254
1500,long,21,3.2482895851135254
1500,description,21,3.2482895851135254
1500,recommend,21,3.2482895851135254
1500,human,20,3.2482895851135254
1500,man,20,3.2482895851135254
1500,sort,20,3.2482895851135254
1500,26,20,3.2482895851135254
1500,short,20,3.2482895851135254
1500,comes,20,3.2482895851135254
1500,define,20,3.2482895851135254
1500,hard,20,3.2482895851135254
1500,interest,20,3.2482895851135254
1500,low,20,3.2482895851135254
1500,times,19,3.2482895851135254
1500,significance,19,3.2482895851135254
1500,appreciate,19,3.2482895851135254
1500,386,19,3.2482895851135254
1500,pascal,19,3.2482895851135254
1500,solution,19,3.2482895851135254
1500,within,19,3.2482895851135254
1500,due,19,3.2482895851135254
1500,believe,19,3.2482895851135254
1500,almost,19,3.2482895851135254
1500,libraries,19,3.2482895851135254
1500,pl9,19,3.2482895851135254
1500,comments,19,3.2482895851135254
1500,top,19,3.2482895851135254
1500,modes,19,3.2482895851135254
1500,company,18,3.2482895851135254
1500,interesting,18,3.2482895851135254
1500,philosophical,18,3.2482895851135254
1500,disclaimer,18,3.2482895851135254
1500,north,18,3.2482895851135254
1500,200,18,3.2482895851135254
1500,drive,18,3.2482895851135254
1500,mean,18,3.2482895851135254
1500,ram,18,3.2482895851135254
1500,release,18,3.2482895851135254
1500,tdawson,18,3.2482895851135254
1500,opinions,18,3.2482895851135254
1500,significance	philosophical,18,3.2482895851135254
1500,pd,17,3.2482895851135254
1500,sciences,17,3.2482895851135254
1500,words,17,3.2482895851135254
1500,ago,17,3.2482895851135254
1500,couple,17,3.2482895851135254
1500,whether,17,3.2482895851135254
1500,1993apr19,17,3.2482895851135254
1500,fact,17,3.2482895851135254
1500,everything,17,3.2482895851135254
1500,pl8,17,3.2482895851135254
1500,33,17,3.2482895851135254
1500,seem,17,3.2482895851135254
1500,looks,17,3.2482895851135254
1500,simply,17,3.2482895851135254
1500,bitnet,17,3.2482895851135254
1500,helps,17,3.2482895851135254
1500,thus,17,3.2482895851135254
1500,forum,17,3.2482895851135254
1500,future,17,3.2482895851135254
1500,media,17,3.2482895851135254
1500,motion,17,3.2482895851135254
1500,dr,17,3.2482895851135254
1500,important,17,3.2482895851135254
1500,explain,17,3.2482895851135254
1500,allow,17,3.2482895851135254
1500,basic,17,3.2482895851135254
1500,herringshaw,17,3.2482895851135254
1500,test,17,3.2482895851135254
1500,31,17,3.2482895851135254
1500,asked,17,3.2482895851135254
1500,necessarily,17,3.2482895851135254
1500,happy,17,3.2482895851135254
1500,whatever,17,3.2482895851135254
1500,regards,17,3.2482895851135254
1500,41,17,3.2482895851135254
1500,ontario,17,3.2482895851135254
1500,rgb,17,3.2482895851135254
1500,illinois,17,3.2482895851135254
1500,tdawson	herringshaw,17,3.2482895851135254
1500,along,16,3.2482895851135254
1500,although,16,3.2482895851135254
1500,mind,16,3.2482895851135254
1500,processor,16,3.2482895851135254
1500,rate,16,3.2482895851135254
1500,deal,16,3.2482895851135254
1500,home,16,3.2482895851135254
1500,nova,16,3.2482895851135254
1500,takes,16,3.2482895851135254
1500,corp,16,3.2482895851135254
1500,further,16,3.2482895851135254
1500,thought,16,3.2482895851135254
1500,computers,16,3.2482895851135254
1500,nothing,16,3.2482895851135254
1500,price,16,3.2482895851135254
1500,sci,16,3.2482895851135254
1500,gives,16,3.2482895851135254
1500,paper,16,3.2482895851135254
1500,fairly,16,3.2482895851135254
1500,keep,16,3.2482895851135254
1500,determine,16,3.2482895851135254
1500,35,16,3.2482895851135254
1500,corporation,16,3.2482895851135254
1500,turn,16,3.2482895851135254
1500,once,16,3.2482895851135254
