K,Pattern,Support,Runtime
500,maybe,26,0.6982548236846924
500,life,24,0.6982548236846924
500,ideas,24,0.6982548236846924
500,feel,24,0.6982548236846924
500,tried,24,0.6982548236846924
500,wrong,23,0.6982548236846924
500,needs,23,0.6982548236846924
500,correct,22,0.6982548236846924
500,didn,22,0.6982548236846924
500,recently,22,0.6982548236846924
500,graphic,22,0.6982548236846924
500,suggestions,22,0.6982548236846924
500,exactly,22,0.6982548236846924
500,apr,22,0.6982548236846924
500,personally,22,0.6982548236846924
500,rumours,21,0.6982548236846924
500,wondering,21,0.6982548236846924
500,knows,21,0.6982548236846924
500,services,21,0.6982548236846924
500,long,21,0.6982548236846924
500,description,21,0.6982548236846924
500,recommend,21,0.6982548236846924
500,human,20,0.6982548236846924
500,man,20,0.6982548236846924
500,sort,20,0.6982548236846924
500,26,20,0.6982548236846924
500,short,20,0.6982548236846924
500,comes,20,0.6982548236846924
500,define,20,0.6982548236846924
500,hard,20,0.6982548236846924
500,interest,20,0.6982548236846924
500,low,20,0.6982548236846924
500,times,19,0.6982548236846924
500,significance,19,0.6982548236846924
500,appreciate,19,0.6982548236846924
500,386,19,0.6982548236846924
500,pascal,19,0.6982548236846924
500,solution,19,0.6982548236846924
500,within,19,0.6982548236846924
500,due,19,0.6982548236846924
500,believe,19,0.6982548236846924
500,almost,19,0.6982548236846924
500,libraries,19,0.6982548236846924
500,pl9,19,0.6982548236846924
500,comments,19,0.6982548236846924
500,top,19,0.6982548236846924
500,modes,19,0.6982548236846924
500,company,18,0.6982548236846924
500,interesting,18,0.6982548236846924
500,philosophical,18,0.6982548236846924
500,disclaimer,18,0.6982548236846924
500,north,18,0.6982548236846924
500,200,18,0.6982548236846924
500,drive,18,0.6982548236846924
500,mean,18,0.6982548236846924
500,ram,18,0.6982548236846924
500,release,18,0.6982548236846924
500,tdawson,18,0.6982548236846924
500,opinions,18,0.6982548236846924
500,significance	philosophical,18,0.6982548236846924
500,pd,17,0.6982548236846924
500,sciences,17,0.6982548236846924
500,words,17,0.6982548236846924
500,ago,17,0.6982548236846924
500,couple,17,0.6982548236846924
500,whether,17,0.6982548236846924
500,1993apr19,17,0.6982548236846924
500,fact,17,0.6982548236846924
500,everything,17,0.6982548236846924
500,pl8,17,0.6982548236846924
500,33,17,0.6982548236846924
500,seem,17,0.6982548236846924
500,looks,17,0.6982548236846924
500,simply,17,0.6982548236846924
500,bitnet,17,0.6982548236846924
500,helps,17,0.6982548236846924
500,thus,17,0.6982548236846924
500,forum,17,0.6982548236846924
500,future,17,0.6982548236846924
500,media,17,0.6982548236846924
500,motion,17,0.6982548236846924
500,dr,17,0.6982548236846924
500,important,17,0.6982548236846924
500,explain,17,0.6982548236846924
500,allow,17,0.6982548236846924
500,basic,17,0.6982548236846924
500,herringshaw,17,0.6982548236846924
500,test,17,0.6982548236846924
500,31,17,0.6982548236846924
500,asked,17,0.6982548236846924
500,necessarily,17,0.6982548236846924
500,happy,17,0.6982548236846924
500,whatever,17,0.6982548236846924
500,regards,17,0.6982548236846924
500,41,17,0.6982548236846924
500,ontario,17,0.6982548236846924
500,rgb,17,0.6982548236846924
500,illinois,17,0.6982548236846924
500,tdawson	herringshaw,17,0.6982548236846924
500,along,16,0.6982548236846924
500,although,16,0.6982548236846924
500,mind,16,0.6982548236846924
500,processor,16,0.6982548236846924
500,rate,16,0.6982548236846924
500,deal,16,0.6982548236846924
500,home,16,0.6982548236846924
500,nova,16,0.6982548236846924
500,takes,16,0.6982548236846924
500,corp,16,0.6982548236846924
500,further,16,0.6982548236846924
500,thought,16,0.6982548236846924
500,computers,16,0.6982548236846924
500,nothing,16,0.6982548236846924
500,price,16,0.6982548236846924
500,sci,16,0.6982548236846924
500,gives,16,0.6982548236846924
500,paper,16,0.6982548236846924
500,fairly,16,0.6982548236846924
500,keep,16,0.6982548236846924
500,determine,16,0.6982548236846924
500,35,16,0.6982548236846924
500,corporation,16,0.6982548236846924
500,turn,16,0.6982548236846924
500,once,16,0.6982548236846924
500,offer,16,0.6982548236846924
500,cannot,16,0.6982548236846924
500,specific,16,0.6982548236846924
500,sent,16,0.6982548236846924
500,require,16,0.6982548236846924
500,supposedly,16,0.6982548236846924
500,learn,16,0.6982548236846924
500,haven,16,0.6982548236846924
500,studio,16,0.6982548236846924
500,texas,16,0.6982548236846924
500,28,15,0.6982548236846924
500,whole,15,0.6982548236846924
500,defined,15,0.6982548236846924
500,won,15,0.6982548236846924
500,poster,15,0.6982548236846924
500,thanx,15,0.6982548236846924
500,location,15,0.6982548236846924
500,always,15,0.6982548236846924
500,486,15,0.6982548236846924
500,bug,15,0.6982548236846924
500,bugs,15,0.6982548236846924
500,checked,15,0.6982548236846924
500,edward,15,0.6982548236846924
500,below,15,0.6982548236846924
500,york,15,0.6982548236846924
500,title,15,0.6982548236846924
500,looked,15,0.6982548236846924
500,originator,15,0.6982548236846924
500,adobe,15,0.6982548236846924
500,april,15,0.6982548236846924
500,date,15,0.6982548236846924
500,later,15,0.6982548236846924
500,netters,15,0.6982548236846924
500,myself,15,0.6982548236846924
500,os,15,0.6982548236846924
500,otherwise,15,0.6982548236846924
500,design,15,0.6982548236846924
500,add,15,0.6982548236846924
500,unfortunately,15,0.6982548236846924
500,gmt,15,0.6982548236846924
500,proposed,15,0.6982548236846924
500,products,15,0.6982548236846924
500,perhaps,15,0.6982548236846924
500,articles,15,0.6982548236846924
500,germany,15,0.6982548236846924
500,common,15,0.6982548236846924
500,main,15,0.6982548236846924
500,math,14,0.6982548236846924
500,displaying,14,0.6982548236846924
500,monitor,14,0.6982548236846924
500,station,14,0.6982548236846924
500,took,14,0.6982548236846924
500,against,14,0.6982548236846924
500,dave,14,0.6982548236846924
