K,Pattern,Support,Runtime
1000,maybe,26,1.5054759979248047
1000,life,24,1.5054759979248047
1000,ideas,24,1.5054759979248047
1000,feel,24,1.5054759979248047
1000,tried,24,1.5054759979248047
1000,wrong,23,1.5054759979248047
1000,needs,23,1.5054759979248047
1000,correct,22,1.5054759979248047
1000,didn,22,1.5054759979248047
1000,recently,22,1.5054759979248047
1000,graphic,22,1.5054759979248047
1000,suggestions,22,1.5054759979248047
1000,exactly,22,1.5054759979248047
1000,apr,22,1.5054759979248047
1000,personally,22,1.5054759979248047
1000,rumours,21,1.5054759979248047
1000,wondering,21,1.5054759979248047
1000,knows,21,1.5054759979248047
1000,services,21,1.5054759979248047
1000,long,21,1.5054759979248047
1000,description,21,1.5054759979248047
1000,recommend,21,1.5054759979248047
1000,human,20,1.5054759979248047
1000,man,20,1.5054759979248047
1000,sort,20,1.5054759979248047
1000,26,20,1.5054759979248047
1000,short,20,1.5054759979248047
1000,comes,20,1.5054759979248047
1000,define,20,1.5054759979248047
1000,hard,20,1.5054759979248047
1000,interest,20,1.5054759979248047
1000,low,20,1.5054759979248047
1000,times,19,1.5054759979248047
1000,significance,19,1.5054759979248047
1000,appreciate,19,1.5054759979248047
1000,386,19,1.5054759979248047
1000,pascal,19,1.5054759979248047
1000,solution,19,1.5054759979248047
1000,within,19,1.5054759979248047
1000,due,19,1.5054759979248047
1000,believe,19,1.5054759979248047
1000,almost,19,1.5054759979248047
1000,libraries,19,1.5054759979248047
1000,pl9,19,1.5054759979248047
1000,comments,19,1.5054759979248047
1000,top,19,1.5054759979248047
1000,modes,19,1.5054759979248047
1000,company,18,1.5054759979248047
1000,interesting,18,1.5054759979248047
1000,philosophical,18,1.5054759979248047
1000,disclaimer,18,1.5054759979248047
1000,north,18,1.5054759979248047
1000,200,18,1.5054759979248047
1000,drive,18,1.5054759979248047
1000,mean,18,1.5054759979248047
1000,ram,18,1.5054759979248047
1000,release,18,1.5054759979248047
1000,tdawson,18,1.5054759979248047
1000,opinions,18,1.5054759979248047
1000,significance	philosophical,18,1.5054759979248047
1000,pd,17,1.5054759979248047
1000,sciences,17,1.5054759979248047
1000,words,17,1.5054759979248047
1000,ago,17,1.5054759979248047
1000,couple,17,1.5054759979248047
1000,whether,17,1.5054759979248047
1000,1993apr19,17,1.5054759979248047
1000,fact,17,1.5054759979248047
1000,everything,17,1.5054759979248047
1000,pl8,17,1.5054759979248047
1000,33,17,1.5054759979248047
1000,seem,17,1.5054759979248047
1000,looks,17,1.5054759979248047
1000,simply,17,1.5054759979248047
1000,bitnet,17,1.5054759979248047
1000,helps,17,1.5054759979248047
1000,thus,17,1.5054759979248047
1000,forum,17,1.5054759979248047
1000,future,17,1.5054759979248047
1000,media,17,1.5054759979248047
1000,motion,17,1.5054759979248047
1000,dr,17,1.5054759979248047
1000,important,17,1.5054759979248047
1000,explain,17,1.5054759979248047
1000,allow,17,1.5054759979248047
1000,basic,17,1.5054759979248047
1000,herringshaw,17,1.5054759979248047
1000,test,17,1.5054759979248047
1000,31,17,1.5054759979248047
1000,asked,17,1.5054759979248047
1000,necessarily,17,1.5054759979248047
1000,happy,17,1.5054759979248047
1000,whatever,17,1.5054759979248047
1000,regards,17,1.5054759979248047
1000,41,17,1.5054759979248047
1000,ontario,17,1.5054759979248047
1000,rgb,17,1.5054759979248047
1000,illinois,17,1.5054759979248047
1000,tdawson	herringshaw,17,1.5054759979248047
1000,along,16,1.5054759979248047
1000,although,16,1.5054759979248047
1000,mind,16,1.5054759979248047
1000,processor,16,1.5054759979248047
1000,rate,16,1.5054759979248047
1000,deal,16,1.5054759979248047
1000,home,16,1.5054759979248047
1000,nova,16,1.5054759979248047
1000,takes,16,1.5054759979248047
1000,corp,16,1.5054759979248047
1000,further,16,1.5054759979248047
1000,thought,16,1.5054759979248047
1000,computers,16,1.5054759979248047
1000,nothing,16,1.5054759979248047
1000,price,16,1.5054759979248047
1000,sci,16,1.5054759979248047
1000,gives,16,1.5054759979248047
1000,paper,16,1.5054759979248047
1000,fairly,16,1.5054759979248047
1000,keep,16,1.5054759979248047
1000,determine,16,1.5054759979248047
1000,35,16,1.5054759979248047
1000,corporation,16,1.5054759979248047
1000,turn,16,1.5054759979248047
1000,once,16,1.5054759979248047
1000,offer,16,1.5054759979248047
1000,cannot,16,1.5054759979248047
1000,specific,16,1.5054759979248047
1000,sent,16,1.5054759979248047
1000,require,16,1.5054759979248047
1000,supposedly,16,1.5054759979248047
1000,learn,16,1.5054759979248047
1000,haven,16,1.5054759979248047
1000,studio,16,1.5054759979248047
1000,texas,16,1.5054759979248047
1000,28,15,1.5054759979248047
1000,whole,15,1.5054759979248047
1000,defined,15,1.5054759979248047
1000,won,15,1.5054759979248047
1000,poster,15,1.5054759979248047
1000,thanx,15,1.5054759979248047
1000,location,15,1.5054759979248047
1000,always,15,1.5054759979248047
1000,486,15,1.5054759979248047
1000,bug,15,1.5054759979248047
1000,bugs,15,1.5054759979248047
1000,checked,15,1.5054759979248047
1000,edward,15,1.5054759979248047
1000,below,15,1.5054759979248047
1000,york,15,1.5054759979248047
1000,title,15,1.5054759979248047
1000,looked,15,1.5054759979248047
1000,originator,15,1.5054759979248047
1000,adobe,15,1.5054759979248047
1000,april,15,1.5054759979248047
1000,date,15,1.5054759979248047
1000,later,15,1.5054759979248047
1000,netters,15,1.5054759979248047
1000,myself,15,1.5054759979248047
